date,unemr_value
2013-08-01,7.099999905
2013-09-01,6.900000095
2013-10-01,6.699999809
2013-11-01,6.5
2013-12-01,6.199999809
2014-01-01,6.400000095
2014-02-01,6.800000191
2014-03-01,7.199999809
2014-04-01,7.099999905
2014-05-01,7.0
2014-06-01,6.800000191
2014-07-01,6.900000095
2014-08-01,6.900000095
2014-09-01,6.800000191
2014-10-01,6.599999905
2014-11-01,6.5
2014-12-01,6.5
2015-01-01,6.800000191
2015-02-01,7.400000095
2015-03-01,7.900000095
2015-04-01,8.0
2015-05-01,8.100000381
2015-06-01,8.300000191
2015-07-01,8.600000381
2015-08-01,8.699999809
2015-09-01,8.899999619
2015-10-01,8.899999619
2015-11-01,9.0
2015-12-01,9.0
2016-01-01,9.5
2016-02-01,10.19999981
2016-03-01,10.89999962
2016-04-01,11.19999981
2016-05-01,11.19999981
2016-06-01,11.30000019
2016-07-01,11.60000038
2016-08-01,11.80000019
2016-09-01,11.80000019
2016-10-01,11.80000019
2016-11-01,11.89999962
2016-12-01,12.0
2017-01-01,12.60000038
2017-02-01,13.19999981
2017-03-01,13.69999981
2017-04-01,13.60000038
2017-05-01,13.30000019
2017-06-01,13.0
2017-07-01,12.80000019
2017-08-01,12.60000038
2017-09-01,12.39999962
2017-10-01,12.19999981
2017-11-01,12.0
2017-12-01,11.80000019
2018-01-01,12.19999981
2018-02-01,12.60000038
2018-03-01,13.10000038
2018-04-01,12.89999962
2018-05-01,12.69999981
2018-06-01,12.39999962
2018-07-01,12.30000019
2018-08-01,12.10000038
2018-09-01,11.89999962
2018-10-01,11.69999981
2018-11-01,11.60000038
2018-12-01,11.60000038
2019-01-01,12.0
2019-02-01,12.39999962
2019-03-01,12.69999981
2019-04-01,12.5
2019-05-01,12.30000019
2019-06-01,12.0
2019-07-01,11.80000019
2019-08-01,11.80000019
2019-09-01,11.80000019
2019-10-01,11.60000038
2019-11-01,11.19999981
2019-12-01,11.0
2020-01-01,11.19999981
2020-02-01,11.60000038
2020-03-01,12.19999981
2020-04-01,12.60000038
2020-05-01,12.89999962
2020-06-01,13.30000019
2020-07-01,13.80000019
2020-08-01,14.39999962
2020-09-01,14.60000038
2020-10-01,14.30000019
2020-11-01,14.10000038
2020-12-01,13.89999962
2021-01-01,14.19999981
2021-02-01,14.39999962
2021-03-01,14.69999981
2021-04-01,14.69999981
2021-05-01,14.60000038
2021-06-01,14.19999981
2021-07-01,13.69999981
2021-08-01,13.10000038
2021-09-01,12.60000038
2021-10-01,12.10000038
2021-11-01,11.60000038
2021-12-01,11.1
2022-01-01,11.2
2022-02-01,11.2
2022-03-01,11.1
2022-04-01,10.5
2022-05-01,9.8
2022-06-01,9.3
2022-07-01,9.1
2022-08-01,8.9
2022-09-01,8.7
2022-10-01,8.3
2022-11-01,8.1
2022-12-01,7.9
2023-01-01,8.4
2023-02-01,8.6
2023-03-01,8.8
2023-04-01,8.5
2023-05-01,8.3
2023-06-01,8.0
2023-07-01,7.9
